Generation,Diversity
0,0.002864970796315096
1,0.007906147214137467
2,0.009959795290467328
3,0.010829854581009157
4,0.011068912420014253
5,0.011122839158067563
6,0.011304271679551383
7,0.011300014167604093
8,0.011264092850157495
9,0.011411077977438367
10,0.011395813148323608
11,0.011344755538893816
12,0.011275401196918534
13,0.011341009748801988
14,0.011317690656287328
15,0.011342319170683155
16,0.011292919834320564
17,0.011278528762190093
18,0.01125150695935468
19,0.011288106934895095
20,0.011227138573070965
21,0.01131707501214132
22,0.01136915257293941
23,0.011291844569234766
24,0.011362091368410767
25,0.011269379334119218
26,0.011306777045294225
27,0.011319602557057546
28,0.011238221866544355
29,0.011377911969823771
30,0.011317833989969177
31,0.011293330234796757
32,0.011382325932873982
33,0.011189192338532885
34,0.011295090216201835
35,0.011327648697238147
36,0.011262201531602376
37,0.011220239949578483
38,0.0110896262517571
39,0.011161003049974798
40,0.011133368008386761
41,0.011317100348461194
42,0.011337147849542198
43,0.011369399708245308
44,0.01138229903566084
45,0.011382898551078803
46,0.011330277602521779
47,0.011337714081461383
48,0.011318464225444042
49,0.011342236734293585
50,0.011305509608274677
